iter	Passed	Remaining
0	7	1415
1	13	1370
2	20	1333
3	26	1303
4	32	1284
5	39	1280
6	46	1277
7	53	1279
8	60	1275
9	66	1267
10	73	1259
11	80	1253
12	86	1244
13	92	1229
14	99	1221
15	105	1214
16	112	1206
17	121	1231
18	129	1230
19	136	1225
20	143	1221
21	150	1214
22	156	1208
23	163	1200
24	170	1192
25	177	1186
26	183	1178
27	190	1171
28	197	1163
29	204	1156
30	210	1150
31	217	1143
32	224	1135
33	230	1127
34	237	1119
35	243	1110
36	250	1102
37	256	1094
38	263	1087
39	269	1079
40	276	1071
41	282	1064
42	289	1057
43	296	1049
44	302	1042
45	309	1035
46	315	1026
47	321	1018
48	328	1011
49	334	1003
50	341	996
51	347	988
52	353	981
53	360	973
54	366	965
55	372	958
56	379	951
57	385	944
58	392	937
59	396	925
60	402	918
61	409	911
62	415	904
63	422	896
64	428	889
65	434	883
66	441	876
67	447	869
68	454	862
69	460	855
70	467	849
71	473	842
72	480	835
73	486	828
74	492	821
75	499	814
76	505	807
77	512	801
78	518	794
79	525	787
80	532	781
81	538	775
82	545	768
83	551	761
84	558	755
85	564	748
86	570	741
87	577	734
88	583	727
89	590	721
90	596	714
91	602	707
92	609	700
93	615	694
94	622	687
95	628	680
96	634	674
97	641	667
98	647	660
99	654	654
100	660	647
101	667	641
102	673	634
103	679	627
104	686	621
105	692	614
106	698	607
107	705	600
108	711	594
109	718	588
110	725	581
111	731	574
112	737	568
113	744	561
114	750	554
115	756	548
116	763	541
117	769	534
118	775	528
119	782	521
120	788	514
121	795	508
122	801	501
123	808	495
124	814	488
125	820	481
126	826	475
127	833	468
128	839	462
129	846	455
130	852	449
131	858	442
132	865	435
133	871	429
134	878	422
135	884	416
136	890	409
137	897	403
138	903	396
139	909	389
140	916	383
141	922	376
142	929	370
143	935	363
144	941	357
145	948	350
146	955	344
147	961	337
148	968	331
149	974	324
150	980	318
151	987	311
152	993	305
153	999	298
154	1006	292
155	1012	285
156	1018	279
157	1025	272
158	1029	265
159	1035	258
160	1042	252
161	1048	245
162	1054	239
163	1061	232
164	1067	226
165	1074	220
166	1080	213
167	1087	207
168	1093	200
169	1100	194
170	1106	187
171	1112	181
172	1119	174
173	1126	168
174	1132	161
175	1139	155
176	1145	148
177	1152	142
178	1159	135
179	1165	129
180	1171	123
181	1178	116
182	1184	110
183	1190	103
184	1196	97
185	1203	90
186	1209	84
187	1215	77
188	1222	71
189	1228	64
190	1234	58
191	1240	51
192	1247	45
193	1253	38
194	1259	32
195	1266	25
196	1272	19
197	1279	12
198	1285	6
199	1291	0
